iter	RMSE
328	3.442129754
329	3.438279999
330	3.434784814
331	3.429253585
332	3.426367371
333	3.419493999
334	3.4138176
335	3.406500907
336	3.400222076
337	3.394909734
338	3.385012729
339	3.376117816
340	3.36206372
341	3.358273241
342	3.346494558
343	3.338039714
344	3.330233449
345	3.322750959
346	3.319193607
347	3.310309238
348	3.304517676
349	3.295753401
350	3.286061273
351	3.276838709
352	3.265689738
353	3.258459812
354	3.247386358
355	3.23989292
356	3.236552965
357	3.233772256
358	3.227251828
359	3.21959572
360	3.213665225
361	3.206029883
362	3.203903992
363	3.193120102
364	3.187948341
365	3.176883751
366	3.174423998
367	3.167981556
368	3.163381039
369	3.158018742
370	3.150833859
371	3.146523634
372	3.141388832
373	3.13449635
374	3.12819253
375	3.123708548
376	3.11887858
377	3.110369768
378	3.106991578
379	3.097041211
380	3.091441849
381	3.086230843
382	3.076321986
383	3.070724503
384	3.068225186
385	3.060843137
386	3.056300595
387	3.051305203
388	3.044302899
389	3.04284969
