iter	RMSE
0	9.209296439
1	9.142399746
2	9.100833305
3	9.035780901
4	8.989783116
5	8.934760045
6	8.86938292
7	8.819699348
8	8.771138994
9	8.693224156
10	8.636366314
11	8.590515611
12	8.540307117
13	8.501923869
14	8.466883388
15	8.414543742
16	8.383795004
17	8.343131329
18	8.301524977
19	8.283230933
20	8.248861397
21	8.216856707
22	8.179972135
23	8.161478524
24	8.116498492
25	8.091735847
26	8.055848267
27	8.00011807
28	7.962607824
29	7.935680042
30	7.902138696
31	7.851192693
32	7.818492238
33	7.784438629
34	7.767030158
35	7.717409707
36	7.671233726
37	7.65084824
38	7.628912743
39	7.582600474
40	7.574266872
41	7.546372185
42	7.491273262
43	7.461919861
44	7.430795093
45	7.397576512
46	7.357656524
47	7.334312531
48	7.307546486
49	7.282311365
50	7.263325142
51	7.235200308
52	7.220525306
53	7.194146181
54	7.156157002
55	7.137195138
56	7.089578013
57	7.058892044
58	7.034544881
59	7.027801356
60	7.005305931
61	6.9765827
62	6.951893784
63	6.934390015
64	6.904400165
65	6.88663904
66	6.859665343
67	6.845358876
68	6.820009729
69	6.796382873
70	6.77780539
71	6.759395012
72	6.744854932
73	6.726740479
74	6.698678224
75	6.675787053
76	6.637494081
77	6.61890585
78	6.595598914
79	6.579545183
80	6.563466959
81	6.539311289
82	6.516160585
83	6.497741913
84	6.47537822
85	6.466053909
86	6.449579758
87	6.408905228
88	6.396467342
89	6.392435454
90	6.36185863
91	6.349079013
92	6.316539161
93	6.295601399
94	6.279523674
95	6.273073396
96	6.249271985
97	6.232473669
98	6.211946283
99	6.202763011
100	6.186855178
101	6.176419264
102	6.162091749
103	6.133093838
104	6.114619516
105	6.105398983
106	6.085759292
107	6.063609898
108	6.053663948
109	6.042729282
110	6.026272421
111	6.016073204
112	5.996734854
113	5.994745738
114	5.980389876
115	5.963805097
116	5.951447373
117	5.945380388
118	5.933976299
119	5.894063855
120	5.875441716
121	5.864769125
122	5.850608818
123	5.823287569
124	5.805862055
125	5.78404948
126	5.775184642
127	5.745783546
128	5.7396697
129	5.730788723
130	5.706713336
131	5.696108796
132	5.679603526
133	5.667021063
134	5.654328317
135	5.630705335
136	5.61435043
137	5.59226623
138	5.575931181
139	5.567319033
140	5.559993292
141	5.536802132
142	5.511852537
143	5.49798375
144	5.475271109
145	5.467936191
146	5.447249403
147	5.426734785
148	5.420581582
149	5.399774408
150	5.37601067
151	5.35446617
152	5.338069423
153	5.324621827
154	5.307369283
155	5.299428771
156	5.273085896
157	5.254228172
158	5.230989442
159	5.211106076
160	5.197442549
161	5.177482522
162	5.165200924
163	5.146646953
164	5.117514194
165	5.112219931
166	5.09408154
167	5.075770963
168	5.07147114
169	5.063515905
170	5.038060134
171	5.01705213
172	5.003365426
173	4.994726455
174	4.975996089
175	4.95597818
176	4.939659035
177	4.935015896
178	4.923419269
179	4.913140992
180	4.905803105
181	4.889249518
182	4.874868004
183	4.866878288
184	4.858468395
185	4.843277504
186	4.833882239
187	4.825174197
188	4.805466119
189	4.788529641
190	4.766633361
191	4.755807644
192	4.746903396
193	4.733314092
194	4.728431711
195	4.718339666
196	4.712592716
197	4.701498341
198	4.692399443
199	4.67339208
200	4.651526286
201	4.637159527
202	4.622121967
203	4.609855696
204	4.600699119
205	4.593338618
206	4.578566141
207	4.568302
208	4.550827667
209	4.532799567
210	4.519473264
211	4.512660023
212	4.501402298
213	4.493614953
214	4.478493642
215	4.459811486
216	4.448085483
217	4.4397905
218	4.428314894
219	4.417722096
220	4.411493687
221	4.403343426
222	4.388578841
223	4.374130695
224	4.363248145
225	4.355624518
226	4.350423758
227	4.341780765
228	4.328383791
229	4.320238513
230	4.312522675
231	4.296868215
232	4.28618636
233	4.275100886
234	4.266996036
235	4.26053297
236	4.251799166
237	4.240147367
238	4.22944373
239	4.221831654
240	4.214003141
241	4.209433461
242	4.204312454
243	4.190141966
244	4.177563482
245	4.170642442
246	4.162064987
247	4.153837434
248	4.148871956
249	4.136067483
250	4.121094122
251	4.110771013
252	4.10078484
253	4.089571256
254	4.080642025
255	4.062875448
256	4.05666798
257	4.050117419
258	4.047237339
259	4.040401842
260	4.032709192
261	4.027667827
262	4.016931652
263	4.007649644
264	3.998641683
265	3.991289047
266	3.98035415
267	3.960043382
268	3.947592287
269	3.942967866
270	3.928524197
271	3.918369651
272	3.909743204
273	3.892405297
274	3.88324905
275	3.873980416
276	3.85769052
277	3.844890923
278	3.829894453
279	3.816850727
280	3.808377069
281	3.796936324
282	3.789198533
283	3.778282404
284	3.770968906
285	3.761810721
286	3.756027415
287	3.749142162
288	3.736426825
289	3.729620202
290	3.725470749
291	3.717329577
292	3.710837166
293	3.697117941
294	3.689898646
295	3.675858117
296	3.674443506
297	3.666794483
298	3.657757996
299	3.652528385
300	3.642233793
301	3.63359028
302	3.616833126
303	3.612091018
304	3.608123039
305	3.600558127
306	3.596777403
307	3.589754207
308	3.579839871
309	3.569901185
310	3.561791831
311	3.555268389
312	3.550390412
313	3.544102266
314	3.536857631
315	3.529367335
316	3.524802718
317	3.516868434
318	3.506849143
319	3.50262815
320	3.497997556
321	3.492347628
322	3.48455981
323	3.47204477
324	3.464419807
325	3.459703452
326	3.455356422
327	3.44930537
